Company Name,Industry,Symbol,Series,ISIN Code
GlaxoSmithkline Consumer Healthcare Ltd.,CONSUMER GOODS,GSKCONS,EQ,INE264A01014
Godrej Consumer Products Ltd.,CONSUMER GOODS,GODREJCP,EQ,INE102D01028
Godrej Industries Ltd.,CONSUMER GOODS,GODREJIND,EQ,INE233A01035
Hindustan Unilever Ltd.,CONSUMER GOODS,HINDUNILVR,EQ,INE030A01027
I T C Ltd.,CONSUMER GOODS,ITC,EQ,INE154A01025
Jubilant Foodworks Ltd.,CONSUMER GOODS,JUBLFOOD,EQ,INE797F01012
Marico Ltd.,CONSUMER GOODS,MARICO,EQ,INE196A01026
Procter & Gamble Hygiene & Health Care Ltd.,CONSUMER GOODS,PGHH,EQ,INE179A01014
Tata Global Beverages Ltd.,CONSUMER GOODS,TATAGLOBAL,EQ,INE192A01025
United Breweries Ltd.,CONSUMER GOODS,UBL,EQ,INE686F01025
United Spirits Ltd.,CONSUMER GOODS,MCDOWELL-N,EQ,INE854D01016
Cyient Ltd.,IT,CYIENT,EQ,INE136B01020
HCL Technologies Ltd.,IT,HCLTECH,EQ,INE860A01027
Info Edge (India) Ltd.,IT,NAUKRI,EQ,INE663F01024
Infosys Ltd.,IT,INFY,EQ,INE009A01021
Justdial Ltd.,IT,JUSTDIAL,EQ,INE599M01018
MindTree Ltd.,IT,MINDTREE,EQ,INE018I01017
Oracle Financial Services Software Ltd.,IT,OFSS,EQ,INE881D01027
Tata Consultancy Services Ltd.,IT,TCS,EQ,INE467B01029
Tech Mahindra Ltd.,IT,TECHM,EQ,INE669C01036
Wipro Ltd.,IT,WIPRO,EQ,INE075A01022
D.B.Corp Ltd.,MEDIA & ENTERTAINMENT,DBCORP,EQ,INE950I01011
Den Networks Ltd.,MEDIA & ENTERTAINMENT,DEN,EQ,INE947J01015
Dish TV India Ltd.,MEDIA & ENTERTAINMENT,DISHTV,EQ,INE836F01026
Eros Intl Media Ltd.,MEDIA & ENTERTAINMENT,EROSMEDIA,EQ,INE416L01017
HT Media Ltd.,MEDIA & ENTERTAINMENT,HTMEDIA,EQ,INE501G01024
Hathway Cable & Datacom Ltd.,MEDIA & ENTERTAINMENT,HATHWAY,EQ,INE982F01036
Inox Leisure Ltd.,MEDIA & ENTERTAINMENT,INOXLEISUR,EQ,INE312H01016
Jagran Prakashan Ltd.,MEDIA & ENTERTAINMENT,JAGRAN,EQ,INE199G01027
Network18 Media & Investments Ltd.,MEDIA & ENTERTAINMENT,NETWORK18,EQ,INE870H01013
PVR Ltd.,MEDIA & ENTERTAINMENT,PVR,EQ,INE191H01014
Siti Cable Network Ltd.,MEDIA & ENTERTAINMENT,SITICABLE,EQ,INE965H01011
Sun TV Network Ltd.,MEDIA & ENTERTAINMENT,SUNTV,EQ,INE424H01027
TV Today Network Ltd.,MEDIA & ENTERTAINMENT,TVTODAY,EQ,INE038F01029
TV18 Broadcast Ltd.,MEDIA & ENTERTAINMENT,TV18BRDCST,EQ,INE886H01027
Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,ZEEL,EQ,INE256A01028
APL Apollo Tubes Ltd.,METALS,APLAPOLLO,EQ,INE702C01019
Bhushan Steel Ltd.,METALS,BHUSANSTL,EQ,INE824B01021
Coal India Ltd.,METALS,COALINDIA,EQ,INE522F01014
Hindalco Industries Ltd.,METALS,HINDALCO,EQ,INE038A01020
Hindustan Zinc Ltd.,METALS,HINDZINC,EQ,INE267A01025
JSW Steel Ltd.,METALS,JSWSTEEL,EQ,INE019A01020
Jindal Steel & Power Ltd.,METALS,JINDALSTEL,EQ,INE749A01030
NMDC Ltd.,METALS,NMDC,EQ,INE584A01023
National Aluminium Co. Ltd.,METALS,NATIONALUM,EQ,INE139A01034
Orissa Min Dev Co Ltd.,METALS,ORISSAMINE,EQ,INE725E01024
Ratnamani Metals & Tubes Ltd.,METALS,RATNAMANI,EQ,INE703B01027
Steel Authority of India Ltd.,METALS,SAIL,EQ,INE114A01011
Tata Steel Ltd.,METALS,TATASTEEL,EQ,INE081A01012
Vedanta Ltd.,METALS,VEDL,EQ,INE205A01025
Welspun Corp Ltd.,METALS,WELCORP,EQ,INE191B01025
Aurobindo Pharma Ltd.,PHARMA,AUROPHARMA,EQ,INE406A01037
Cadila Healthcare Ltd.,PHARMA,CADILAHC,EQ,INE010B01027
Cipla Ltd.,PHARMA,CIPLA,EQ,INE059A01026
Divi's Laboratories Ltd.,PHARMA,DIVISLAB,EQ,INE361B01024
Dr. Reddy's Laboratories Ltd.,PHARMA,DRREDDY,EQ,INE089A01023
Glaxosmithkline Pharmaceuticals Ltd.,PHARMA,GLAXO,EQ,INE159A01016
Glenmark Pharmaceuticals Ltd.,PHARMA,GLENMARK,EQ,INE935A01035
Lupin Ltd.,PHARMA,LUPIN,EQ,INE326A01037
Piramal Enterprises Ltd.,PHARMA,PEL,EQ,INE140A01024
Sun Pharmaceutical Industries Ltd.,PHARMA,SUNPHARMA,EQ,INE044A01036
DLF Ltd.,CONSTRUCTION,DLF,EQ,INE271C01023
Delta Corp Ltd.,CONSTRUCTION,DELTACORP,EQ,INE124G01033
Godrej Properties Ltd.,CONSTRUCTION,GODREJPROP,EQ,INE484J01027
Housing Development and Infrastructure Ltd.,CONSTRUCTION,HDIL,EQ,INE191I01012
Indiabulls Real Estate Ltd.,CONSTRUCTION,IBREALEST,EQ,INE069I01010
Oberoi Realty Ltd.,CONSTRUCTION,OBEROIRLTY,EQ,INE093I01010
Phoenix Mills Ltd.,CONSTRUCTION,PHOENIXLTD,EQ,INE211B01039
Prestige Estates Projects Ltd.,CONSTRUCTION,PRESTIGE,EQ,INE811K01011
Sobha Ltd.,CONSTRUCTION,SOBHA,EQ,INE671H01015
Unitech Ltd.,CONSTRUCTION,UNITECH,EQ,INE694A01020
